glomerulus,fbbt_id,vfb_name,definition,synonyms,vfb_url
DL2v,FBbt_00100376,antennal lobe glomerulus DL2v,"""DL2 glomerulus ventral to DL2d. It lies on the ventromedial margin of the dorsal compartment and immediately ventral to glomerulus DL1."" [FlyBase:FBrf0211729]","""antennal lobe glomerulus DL2 ventral compartment"" EXACT [] | ""DL2v"" EXACT [FlyBase:FBrf0211729]",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-dl2v-fbbt_00100376/
DL3,FBbt_00003964,antennal lobe glomerulus DL3,"""Dorso-lateral glomerulus of the adult antennal lobe. It lies at the dorsal tip of the antennal lobe dorsomedial to glomerulus DA1."" [FlyBase:FBrf0107836]","""antennal glomerulus DL3"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-dl3-fbbt_00003964/
DL4,FBbt_00003965,antennal lobe glomerulus DL4,"""Dorso-lateral glomerulus of the adult antennal lobe. It is a small glomerulus surrounded by glomeruli D, DL3 and DA1."" [FlyBase:FBrf0107836]","""antennal glomerulus DL4"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-dl4-fbbt_00003965/
DL5,FBbt_00003970,antennal lobe glomerulus DL5,"""Dorso-lateral glomerulus of the adult antennal lobe. It lies lateral to glomerulus DM3 and medial to glomerulus DL1. It is larger in females than males (Grabe et al, 2016)."" [FlyBase:FBrf0107836, FlyBase:FBrf0233453]","""antennal glomerulus DL5"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-dl5-fbbt_00003970/
DM1,FBbt_00003975,antennal lobe glomerulus DM1,"""Dorso-medial glomerulus of the adult antennal lobe. It lies dorsal to glomerulus DM4 and medial to glomerulus DP1m. It is larger in females than males (Grabe et al, 2016)."" [FlyBase:FBrf0107836, FlyBase:FBrf0233453]","""antennal glomerulus DM1"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-dm1-fbbt_00003975/
DM2,FBbt_00003971,antennal lobe glomerulus DM2,"""Dorso-lateral glomerulus of the adult antennal lobe. It lies dorsomedial to glomerulus VM7 and dorsomedial to glomerulus DM3."" [FlyBase:FBrf0107836]","""antennal glomerulus DM2"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-dm2-fbbt_00003971/
DM3,FBbt_00003972,antennal lobe glomerulus DM3,"""Dorso-medial glomerulus of the adult antennal lobe. It lies dorsal to glomerulus DM2 and medial to glomerulus DL5."" [FlyBase:FBrf0107836]","""antennal glomerulus DM3"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-dm3-fbbt_00003972/
DM4,FBbt_00003976,antennal lobe glomerulus DM4,"""Dorso-medial glomerulus of the adult antennal lobe. It lies immediately ventral to glomerulus DM1 in the posterior most strata of the antennal lobe."" [FlyBase:FBrf0107836]","""antennal glomerulus DM4"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-dm4-fbbt_00003976/
DM5,FBbt_00003940,antennal lobe glomerulus DM5,"""Dorso-medial glomerulus of the adult antennal lobe. It lies dorsomedial to glomerulus VM5."" [FlyBase:FBrf0107836]","""antennal glomerulus DM5"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-dm5-fbbt_00003940/
DM6,FBbt_00003941,antennal lobe glomerulus DM6,"""Dorso-medial glomerulus of the adult antennal lobe. It lies dorsal to glomerulus VM5 and ventromedial to glomerulus D."" [FlyBase:FBrf0107836]","""antennal glomerulus DM6"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-dm6-fbbt_00003941/
DP1,FBbt_00003977,antennal lobe glomerulus DP1,"""Dorso-posterior glomerulus of the adult antennal lobe. There are two of these, which lie along the dorsolateral border of the posterior-most strata of the antennal lobe, lateral to glomerulus DM1 and dorsal to glomerulus DL2."" [FlyBase:FBrf0107836]","""antennal glomerulus DP1"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-dp1-fbbt_00003977/
DP1l,FBbt_00007098,antennal lobe glomerulus DP1l,"""DP1 glomerulus lateral to DP1m and dorsomedial to glomerulus DL2d. It is larger in females than males (Grabe et al, 2016)."" [FlyBase:FBrf0107836, FlyBase:FBrf0233453]","""antennal lobe glomerulus DP1 lateral compartment"" EXACT [] | ""DP1l"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-dp1l-fbbt_00007098/
DP1m,FBbt_00007097,antennal lobe glomerulus DP1m,"""DP1 glomerulus medial to DP1l and lateral to DM1."" [FlyBase:FBrf0107836]","""antennal lobe glomerulus DP1 medial compartment"" EXACT [] | ""DP1m"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-dp1m-fbbt_00007097/
V,FBbt_00003951,antennal lobe glomerulus V,"""Ventrally located antennal lobe glomerulus innervated only by ipsilateral ORNs."" [FlyBase:FBrf0107836]","""antennal glomerulus V"" EXACT [] | ""V glomerulus"" EXACT [FlyBase:FBrf0219809]",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-v-fbbt_00003951/
VA1,FBbt_00003936,antennal lobe glomerulus VA1,"""Ventro-anterior glomerulus of the adult antennal lobe."" [FlyBase:FBrf0107836]","""antennal glomerulus VA1"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-va1-fbbt_00003936/
VA1d,FBbt_00007101,antennal lobe glomerulus VA1d,"""VA1 glomerulus dorsal to VA1v and ventral to DA1."" [FlyBase:FBrf0107836]","""antennal lobe glomerulus VA1 dorsal compartment"" EXACT [] | ""VA1d"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-va1d-fbbt_00007101/
VA1v,FBbt_00007363,antennal lobe glomerulus VA1v,"""VA1 glomerulus ventral to VA1d (Couto et al., 2005). It is larger in males than females (Grabe et al, 2016)."" [FlyBase:FBrf0187305, FlyBase:FBrf0205720, FlyBase:FBrf0233453]","""antennal lobe glomerulus VA1 ventral compartment"" EXACT [] | ""VA1l"" NARROW [FlyBase:FBrf0205720] | ""VA1lm"" EXACT [FlyBase:FBrf0205720] | ""VA1m"" NARROW [FlyBase:FBrf0205720] | ""VA1v"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-va1v-fbbt_00007363/
VA2,FBbt_00003942,antennal lobe glomerulus VA2,"""Ventral anterior glomerulus of the adult antennal lobe. It lies medial to glomerulus VA3 and ventrolateral to glomerulus VM2. It is larger in males than females (Grabe et al, 2016)."" [FlyBase:FBrf0107836, FlyBase:FBrf0233453]","""antennal glomerulus VA2"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-va2-fbbt_00003942/
VA3,FBbt_00003943,antennal lobe glomerulus VA3,"""Ventro-anterior glomerulus of the adult antennal lobe. It lies lateral to glomerulus VA2 and ventral to glomerulus VA7."" [FlyBase:FBrf0107836]","""antennal glomerulus VA3"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-va3-fbbt_00003943/
VA4,FBbt_00003944,antennal lobe glomerulus VA4,"""Ventro-anterior glomerulus of the adult antennal lobe. It lies ventrolateral to glomerulus VA3 and medial to glomerulus VL1."" [FlyBase:FBrf0107836]","""antennal glomerulus VA4"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-va4-fbbt_00003944/
VA5,FBbt_00003937,antennal lobe glomerulus VA5,"""Ventro-anterior glomerulus of the adult antennal lobe. It lies lateral to glomerulus VC2 and ventromedial to the lateral compartment of glomerulus VA1."" [FlyBase:FBrf0107836]","""antennal glomerulus VA5"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-va5-fbbt_00003937/
VA6,FBbt_00003938,antennal lobe glomerulus VA6,"""Ventro-anterior glomerulus of the adult antennal lobe. It lies ventral to glomerulus DA4 and dorsolateral to glomerulus VM5. It is larger in males than females (Grabe et al, 2016)."" [FlyBase:FBrf0107836, FlyBase:FBrf0233453]","""antennal glomerulus VA6"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-va6-fbbt_00003938/
VA7,FBbt_00003945,antennal lobe glomerulus VA7,"""Ventro-anterior glomerulus of the adult antennal lobe. There are two of these, which together lie dorsal to glomerulus VA3, and dorsomedial to glomerulus VA5."" [FlyBase:FBrf0107836]","""antennal glomerulus VA7"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-va7-fbbt_00003945/
VA7l,FBbt_00007103,antennal lobe glomerulus VA7l,"""VA7 glomerulus at the lateral border of the VA7m, dorsomedial to VA5."" [FlyBase:FBrf0107836]","""antennal lobe glomerulus VA7 lateral compartment"" EXACT [] | ""VA7l"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-va7l-fbbt_00007103/
VA7m,FBbt_00007102,antennal lobe glomerulus VA7m,"""VA7 glomerulus at the medial edge of the VA7l, dorsolateral to VA2."" [FlyBase:FBrf0107836]","""antennal lobe glomerulus VA7 medial compartment"" EXACT [] | ""VA7m"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-va7m-fbbt_00007102/
VC1,FBbt_00003952,antennal lobe glomerulus VC1,"""Ventro-central antennal lobe glomerulus of the adult antennal lobe. It lies dorsal to glomerulus VC3."" [FlyBase:FBrf0107836]","""antennal glomerulus VC1"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-vc1-fbbt_00003952/
VC2,FBbt_00003946,antennal lobe glomerulus VC2,"""Ventro-central glomerulus of the adult antennal lobe. It lies ventral to glomerulus VA6, and dorsolateral to glomerulus VA2."" [FlyBase:FBrf0107836]","""antennal glomerulus VC2"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-vc2-fbbt_00003946/
VC3,FBbt_00003953,antennal lobe glomerulus VC3,"""Ventro-central antennal lobe glomerulus of the adult antennal lobe. It lies dorsal to glomeruli VM1 and VM6, and ventrolateral to glomerulus VM7."" [FlyBase:FBrf0107836, FlyBase:FBrf0249560]","""antennal glomerulus VC3"" EXACT [] | ""antennal lobe glomerulus VC3 lateral compartment"" EXACT [FlyBase:FBrf0107836] | ""antennal lobe glomerulus VC3l"" RELATED [FlyBase:FBrf0249560]",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-vc3-fbbt_00003953/
VC4,FBbt_00007366,antennal lobe glomerulus VC4,"""Ventro-central antennal lobe glomerulus of the adult antennal lobe."" [FlyBase:FBrf0187305]","""antennal glomerulus VC4"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-vc4-fbbt_00007366/
VC5,FBbt_00007104,antennal lobe glomerulus VC5,"""Adult antennal lobe glomerulus medial to VC3, and dorsal to glomerulus VM1."" [FlyBase:FBrf0107836, FlyBase:FBrf0249560]","""antennal lobe glomerulus VC3 medial compartment"" EXACT [] | ""antennal lobe glomerulus VC3m"" EXACT [FlyBase:FBrf0249560]",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-vc5-fbbt_00007104/
VL1,FBbt_00003954,antennal lobe glomerulus VL1,"""Ventro-lateral glomerulus of the adult antennal lobe. It lies in the ventrolateral corner of the antennal lobe ventrolateral to glomerulus VA5 and ventromedial to the anterior compartment of glomerulus VL2."" [FlyBase:FBrf0107836]","""antennal glomerulus VL1"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-vl1-fbbt_00003954/
VL2,FBbt_00003955,antennal lobe glomerulus VL2,"""Ventro-lateral glomerulus of the adult antennal lobe. It is composed of two compartments which together lie dorsolateral to glomerulus VL1."" [FlyBase:FBrf0107836]","""antennal glomerulus VL2"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-vl2-fbbt_00003955/
VL2a,FBbt_00007106,antennal lobe glomerulus VL2a,"""VL2 glomerulus at It the dorsoanterior edge of VL2p, ventrolateral to DL2d."" [FlyBase:FBrf0107836]","""antennal lobe glomerulus VL2 anterior compartment"" EXACT [] | ""VL2a"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-vl2a-fbbt_00007106/
VL2p,FBbt_00007107,antennal lobe glomerulus VL2p,"""VL2 glomerulus at the ventroposterior edge of VL2a, dorsolateral to VL1."" [FlyBase:FBrf0107836]","""antennal lobe glomerulus VL2 posterior compartment"" EXACT [] | ""VL2p"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-vl2p-fbbt_00007107/
VM1,FBbt_00003956,antennal lobe glomerulus VM1,"""Ventro-medial glomerulus of the adult antennal lobe. It lies at the posterior medioventral corner of the antennal lobe, medial to glomerulus VM6."" [FlyBase:FBrf0107836]","""antennal glomerulus VM1"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-vm1-fbbt_00003956/
VM2,FBbt_00003947,antennal lobe glomerulus VM2,"""Ventro-central glomerulus of the adult antennal lobe. It lies dorsomedial to glomerulus VA2 and ventromedial to glomerulus VM5."" [FlyBase:FBrf0107836]","""antennal glomerulus VM2"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-vm2-fbbt_00003947/
VM3,FBbt_00003948,antennal lobe glomerulus VM3,"""Ventro-medial glomerulus of the adult antennal lobe. It lies at the ventromedial corner of the antennal lobe, ventromedial to glomerulus VA2."" [FlyBase:FBrf0107836]","""antennal glomerulus VM3"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-vm3-fbbt_00003948/
VM4,FBbt_00003957,antennal lobe glomerulus VM4,"""Ventro-medial glomerulus of the adult antennal lobe. It lies medial to glomerulus V and ventral to VC3."" [FlyBase:FBrf0107836]","""antennal glomerulus VM4"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-vm4-fbbt_00003957/
VM5,FBbt_00003949,antennal lobe glomerulus VM5,"""Ventro-medial glomerulus of the adult antennal lobe. It lies ventromedial to glomerulus VA6 and dorsolateral to glomerulus VM2."" [FlyBase:FBrf0107836]","""antennal glomerulus VM5"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-vm5-fbbt_00003949/
VM5d,FBbt_00007391,antennal lobe glomerulus VM5d,"""VM5 glomerulus dorsal to VM5v. It is larger in females than males (Grabe et al, 2016)."" [FlyBase:FBrf0051437, FlyBase:FBrf0211729, FlyBase:FBrf0233453, FlyBase:FBrf0239032]","""antennal lobe glomerulus VM5 dorsal compartment"" EXACT []",https://www.virtualflybrain.org/term/antennal-lobe-glomerulus-vm5d-fbbt_00007391/
