root_id,supervoxel_id,cell_type,hemibrain_type,side,flow,super_class,cell_class,cell_sub_class,fbbt_id,source_type
720575940618304670,81701548031355064,CB1824,,right,intrinsic,central,ALLN,,,local
720575940624356792,81701548031603385,CB1824,,right,intrinsic,central,ALLN,,,local
720575940624645818,81842354239123066,CB1824,,right,intrinsic,central,ALLN,,,local
720575940629324791,81771985494995359,CB1824,,right,intrinsic,central,ALLN,,,local
720575940640258613,81772054214458905,CB1824,,right,intrinsic,central,ALLN,,,local
720575940628933275,81069122821052016,CB2345,,right,intrinsic,central,ALLN,,,local
720575940616198587,81560947914797892,CB2471,,right,intrinsic,central,ALLN,,,local
720575940631978956,81631110567610982,CB2471,,right,intrinsic,central,ALLN,,,local
720575940638844504,81701685470451560,CB2471,,right,intrinsic,central,ALLN,,,local
720575940635689829,81560947914897792,CB2504,lLN14,right,intrinsic,central,ALLN,,,local
720575940612049459,81069191540511717,CB2527,,right,intrinsic,central,ALLN,,,local
720575940622014090,81139422845761950,CB2527,,right,intrinsic,central,ALLN,,,local
720575940633156203,81069191540533598,CB2527,,right,intrinsic,central,ALLN,,,local
720575940625732196,81069191540513944,CB2569,,right,intrinsic,central,ALLN,,,local
720575940626876945,81139422845902062,CB2569,,right,intrinsic,central,ALLN,,,local
720575940616959778,81139491565242281,CB2571,,right,intrinsic,central,ALLN,,,local
720575940621778646,81139354126422256,CB2571,,right,intrinsic,central,ALLN,,,local
720575940624069012,81139354126424797,CB2571,,right,intrinsic,central,ALLN,,,local
720575940624323342,81139422845903106,CB2661,,right,intrinsic,central,ALLN,,,local
720575940624422643,81490166853738284,CB2845,,right,intrinsic,central,ALLN,,,local
720575940626579593,81842422958690969,CB2845,,right,intrinsic,central,ALLN,,,local
720575940628142352,81490716609587599,CB2908,,right,intrinsic,central,ALLN,,,local
720575940621681321,81631110567677601,CB3007,,right,intrinsic,central,ALLN,,,local
720575940622811400,81561429018201101,CB3007,,right,intrinsic,central,ALLN,,,local
720575940634385247,81068366773257509,CB3007,,right,intrinsic,central,ALLN,,FBbt_20003748,local
720575940617327590,81139491565239944,CB3172,,right,intrinsic,central,ALLN,,,local
720575940605305777,81490510451140314,CB3202,,right,intrinsic,central,ALLN,,,local
720575940634364311,81561016701388329,CB3202,,right,intrinsic,central,ALLN,,,local
720575940623362380,81139491565230531,CB3326,,right,intrinsic,central,ALLN,,,local
720575940638664014,81139491565227296,CB3326,,right,intrinsic,central,ALLN,,,local
720575940618552443,81069122821047718,CB3417,,right,intrinsic,central,ALLN,,,local
720575940631858373,81069122821050881,CB3417,,right,intrinsic,central,ALLN,,,local
720575940644743790,81069122821052964,CB3417,,right,intrinsic,central,ALLN,,,local
720575940645372964,81069122821048190,CB3417,,right,intrinsic,central,ALLN,,,local
720575940619937445,81139491565243785,CB3575,,right,intrinsic,central,ALLN,,,local
720575940631164476,81139422845760104,CB3633,,right,intrinsic,central,ALLN,,,local
720575940649154681,81490235573294831,CB3679,,right,intrinsic,central,ALLN,,,local
720575940640314190,80646704063816534,LN60a,,right,intrinsic,central,ALLN,,,local
720575940632007983,80787716362558282,LN60b,,right,intrinsic,central,ALLN,,,local
720575940623636701,80225934909095352,il3LN6,il3LN6,right,intrinsic,central,ALLN,,FBbt_00047710,local
720575940635092122,80787716362533597,l2LN19,l2LN19,right,intrinsic,central,ALLN,,FBbt_20003735,local
720575940638006086,80716523052341402,l2LN19,l2LN19,right,intrinsic,central,ALLN,,FBbt_20003735,local
720575940610836885,81491197713115638,l2LN20,l2LN20,right,intrinsic,central,ALLN,,FBbt_20003736,local
720575940616579257,81561291579211153,l2LN20,l2LN20,right,intrinsic,central,ALLN,,FBbt_20003736,local
720575940622726663,81069054035123373,l2LN21,l2LN21,right,intrinsic,central,ALLN,,FBbt_20003737,local
720575940613791399,81420966407795023,l2LN22,l2LN22,right,intrinsic,central,ALLN,,FBbt_20003738,local
720575940614054802,81420691529817315,l2LN22,l2LN22,right,intrinsic,central,ALLN,,FBbt_20003738,local
720575940627214235,80998754077066169,l2LN23,l2LN23,right,intrinsic,central,ALLN,,FBbt_20003739,local
720575940630592031,81069122754605508,l2LN23,l2LN23,right,intrinsic,central,ALLN,,FBbt_20003739,local
720575940606385440,80928453850837046,lLN10,lLN10,right,intrinsic,central,ALLN,,FBbt_20003744,local
720575940604568521,81701822909152779,lLN13,lLN13,right,intrinsic,central,ALLN,,FBbt_20003748,local
720575940638731427,81772054214437300,lLN13,lLN13,right,intrinsic,central,ALLN,,FBbt_20003748,local
720575940641621645,81631247939517026,lLN13,lLN13,right,intrinsic,central,ALLN,,FBbt_20003748,local
720575940621542747,81068435492736802,lLN1_a,lLN1_a,right,intrinsic,central,ALLN,,,local
720575940610161091,81068435492719363,lLN1_bc,"lLN1_b,lLN1_c",right,intrinsic,central,ALLN,,,local
720575940612347571,81068435492738946,lLN1_bc,"lLN1_b,lLN1_c",right,intrinsic,central,ALLN,,,local
720575940615708482,80997998029083963,lLN1_bc,"lLN1_b,lLN1_c",right,intrinsic,central,ALLN,,,local
720575940616908177,81419935615716498,lLN1_bc,"lLN1_b,lLN1_c",right,intrinsic,central,ALLN,,,local
720575940618112310,80927629284917769,lLN1_bc,"lLN1_b,lLN1_c",right,intrinsic,central,ALLN,,,local
720575940622338742,81068435492742954,lLN1_bc,"lLN1_b,lLN1_c",right,intrinsic,central,ALLN,,,local
720575940623137997,80786823077043914,lLN1_bc,"lLN1_b,lLN1_c",right,intrinsic,central,ALLN,,,local
720575940623792648,80716523052142771,lLN1_bc,"lLN1_b,lLN1_c",right,intrinsic,central,ALLN,,,local
