canonical_glomerulus,receptor_consensus,receptor_benton_2025,receptor_potter_task_2022,receptor_odour_scenes,receptor_door,sensillum_consensus,sensory_organ_consensus,sensillum_benton_2025,sensory_organ_benton_2025,sensillum_potter_task_2022,sensillum_odour_scenes,sensillum_door,sensory_organ_door,neuron_name_benton_2025,essential_coreceptor_benton_2025,co_receptor_door,orco_gal4_grabe_2015,orco_t2a_qf2,ir8a_t2a_qf2,ir76b_t2a_qf2,ir25a_t2a_qf2,key_agonists_benton_2025,sensory_scene_benton_2025,key_ligand,odour_scene,valence,fbbt_id,vfb_name,vfb_synonyms,projection_neuron_lines,projection_neuron_line_source,gh146_gal4,gh146_pn_female,gh146_pn_male,chat_gal4,chat_soma_count,chat_adpn,chat_lpn,chat_vpn,sensory_neuron_lines,present_grabe_2015,present_hemibrain,present_flywire,present_door_map,present_door_mappings,present_potter_task_2022,present_benton_2025,present_bates_schlegel_2020
DL1,"Or10a, Gr10a; Or10a; Or10a+Gr10a",Or10a/(Gr10a),"Or10a, Gr10a",Or10a,Or10a+Gr10a,Ab1D; ab1,antenna,ab1,antenna,Ab1D,ab1,ab1,antenna,ab1D,Orco,Orco,positive,Yes,Yes,Yes,Yes,"methyl salicylate and other esters, acetophenone",fruity,methyl salicytate,fruity,aversive,FBbt_00003968,antennal lobe glomerulus DL1,"""antennal glomerulus DL1"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,3 (0.6),2 (0.6),positive,2.5,2.5 (0.5),,,Orco-GAL4; Orco-T2A-QF2; Ir8a-T2A-QF2; Ir76b-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
DL2d,Ir75b; Ir75a/b (subset Ir75c) (co Ir8a),Ir75b,Ir75b,Ir75a/b (subset Ir75c) (co Ir8a),,Ac3A,antenna,ac3I,antenna,Ac3A,ac3A,,,ac3IA,Ir8a,,negative,Yes,Yes,No,Yes,"carboxylic acids (e.g. butyric acid, propionic acid), aldehydes (e.g. butanal, propanal)",decaying_fruit,butyric acid,decaying_fruit,unclear,FBbt_00100377,antennal lobe glomerulus DL2d,"""antennal lobe glomerulus DL2 dorsal compartment"" EXACT [] | ""DL2d"" EXACT [FlyBase:FBrf0211729]",,,negative,,,,,,,,Orco-T2A-QF2; Ir8a-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,alias:DL2d/v;DL2d/v+VC3,direct,direct,direct
DL2v,Ir75c; Ir75a/b (subset Ir75c) (co Ir8a),Ir75c,Ir75c,Ir75a/b (subset Ir75c) (co Ir8a),,Ac3A,antenna,ac3II,antenna,Ac3A,ac3A,,,ac3IIA,Ir8a,,negative,Yes,Yes,No,Yes,"carboxylic acids (e.g. propionic acid, butyric acid), aldehydes (e.g. propanal, butanal)",decaying_fruit,butyric acid,decaying_fruit,unclear,FBbt_00100376,antennal lobe glomerulus DL2v,"""antennal lobe glomerulus DL2 ventral compartment"" EXACT [] | ""DL2v"" EXACT [FlyBase:FBrf0211729]",,,negative,,,,,,,,Orco-T2A-QF2; Ir8a-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,alias:DL2d/v;DL2d/v+VC3,direct,direct,direct
DL3,"Or65a, Or65b, Or65c; Or65a+b+c",Or65a/(Or65b/Or65c),"Or65a, Or65b, Or65c","Or65a, Or65b, Or65c",Or65a+b+c,At4B; at4,antenna,at4,antenna,At4B,at4B,at4,antenna,at4B,Orco,Orco,positive,Yes,No,No,Yes,11-cis-vaccenyl acetate (weak),pheromonal,cis-vaccenyl acetate,pheromones,unclear,FBbt_00003964,antennal lobe glomerulus DL3,"""antennal glomerulus DL3"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,5 (1.1),6 (1.3),positive,5,,5 (1),,Orco-GAL4; Orco-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
DL4,"Or49a, Or85f; Or49a+85f",Or49a/Or85f,"Or49a, Or85f","Or49a, Or85f",Or49a+85f,Ab10B; ab10A; ab10,antenna,ab10,antenna,Ab10B,ab10A,ab10,antenna,ab10B,Orco,Orco,positive,Yes,No,No,Yes,"iridoids (iridomyrmecin, actinidine, nepetalactol)",dangerous (parasitoid wasps),iridomyrmycin,dangerous,aversive,FBbt_00003965,antennal lobe glomerulus DL4,"""antennal glomerulus DL4"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,1 (0.4),1 (0),positive,1,1 (0.3),,,Orco-GAL4; Orco-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
DL5,Or7a,Or7a,Or7a,Or7a,Or7a,Ab4A; ab4,antenna,ab4,antenna,Ab4A,ab4A,ab4,antenna,ab4A,Orco,Orco,positive,Yes,No,No,Variable,"E2-hexenal, E2-hexenol",plant_matter,ethanol; benzaldehyde; 2-nonanone; trans-2-hexen-1-al; green leaf volatiles,alcoholic_fermentation; dangerous; plant_matter,aversive,FBbt_00003970,antennal lobe glomerulus DL5,"""antennal glomerulus DL5"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,1 (0.6),1 (0),positive,1,1 (0.3),,,Orco-GAL4; Orco-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
DM1,Or42b,Or42b,Or42b,Or42b,Or42b,Ab1A; ab1,antenna,ab1,antenna,Ab1A,ab1,ab1,antenna,ab1A,Orco,Orco,positive,Yes,No,No,Yes,"esters (e.g. ethyl acetate, ethyl propionate), 3-hexanone; TMEM63-dependent hygrosensation",yeasty,ethyl acetate; propyl acetate,yeasty,appetitive,FBbt_00003975,antennal lobe glomerulus DM1,"""antennal glomerulus DM1"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,1 (0),1 (0),positive,1,,1 (0),,Orco-GAL4; Orco-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
DM2,"Or22a, Or22b; Or22a/b; Or22a+b",Or22a/(Or22b),"Or22a, Or22b",Or22a/b,Or22a+b,Ab3A; ab3,antenna,ab3,antenna,Ab3A,ab3A,ab3,antenna,ab3A,Orco,Orco,positive,Yes,No,No,Yes,"esters (e.g. methyl hexanoate, ethyl hexanoate)",alcoholic_fermentation/fruity,ethanol; ethyl hexanoate; hexyl acetate; ethyl butyrate,alcoholic_fermentation; fruity,appetitive; unclear,FBbt_00003971,antennal lobe glomerulus DM2,"""antennal glomerulus DM2"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,2 (0),2 (0),positive,2,,2 (0),,Orco-GAL4; Orco-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
DM3,"Or47a, Or33b; Or47a; Or47a+33b",Or47a/(Or33b),"Or47a, Or33b",Or47a,Or47a+33b,Ab5B; ab5,antenna,ab5,antenna,Ab5B,ab5B,ab5,antenna,ab5B,Orco,Orco,positive,Yes,No,No,No,"esters (e.g. pentyl acetate, methyl hexanoate), 3-methylthio-1-propanol",yeasty/fruity/dangerous,"amyl acetate; 2,5-dimethylpyrazine",yeasty; fruity; dangerous,unclear; aversive,FBbt_00003972,antennal lobe glomerulus DM3,"""antennal glomerulus DM3"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,1 (0),2 (0.8),positive,1,1 (0.7),,,Orco-GAL4; Orco-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
DM4,Or59b,Or59b,Or59b,Or59b,Or59b,Ab2A; ab2,antenna,ab2,antenna,Ab2A,ab2,ab2,antenna,ab2A,Orco,Orco,positive,Yes,No,No,Yes,"methyl acetate, ethyl acetate, ketones",yeasty,ethyl acetate,yeasty,appetitive,FBbt_00003976,antennal lobe glomerulus DM4,"""antennal glomerulus DM4"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,1 (0),1 (0),positive,1,1 (0),,,Orco-GAL4; Orco-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
DM5,"Or85a, Or33b; Or85a+33b",Or85a/(Or33b),"Or85a, Or33b","Or85a, Or33b",Or85a+33b,Ab2B; ab2,antenna,ab2,antenna,Ab2B,ab2,ab2,antenna,ab2B,Orco,Orco,positive,Yes,No,No,No,ethyl-3-hydroxybutyrate,yeasty,ethyl-3-hydroxybutyrate,yeasty,aversive,FBbt_00003940,antennal lobe glomerulus DM5,"""antennal glomerulus DM5"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,2 (0.5),1 (0.6),positive,2,,2 (0.5),,Orco-GAL4; Orco-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
DM6,Or67a,Or67a,Or67a,Or67a,Or67a,Ab10A; ab10B; ab10,antenna,ab10,antenna,Ab10A,ab10B,ab10,antenna,ab10A,Orco,Orco,positive,Yes,No,No,Yes,"esters (e.g. ethyl benzoate, pentyl acetate), 6-methyl-5-hepten-2-one, pentanoic acid",yeasty,2-phenylethanol,yeasty,unclear,FBbt_00003941,antennal lobe glomerulus DM6,"""antennal glomerulus DM6"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,3 (0.4),3 (0.5),positive,3,3 (0.4),,,Orco-GAL4; Orco-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
DP1l,Ir75a; Ir75a (co Ir8a),Ir75a,Ir75a,Ir75a (co Ir8a),Ir75a,Ac2; ac2A,antenna,ac2,antenna,Ac2,ac2A,ac2,antenna,ac2A,Ir8a,Ir8a,negative,Yes,Yes,Yes,Yes,"carboxylic acids (e.g. acetic acid, propionic acid), 2,3-butanedione",alcoholic_fermentation,acetic acid,alcoholic_fermentation,unclear,FBbt_00007098,antennal lobe glomerulus DP1l,"""antennal lobe glomerulus DP1 lateral compartment"" EXACT [] | ""DP1l"" EXACT []",,,negative,,,,,,,,Orco-T2A-QF2; Ir8a-T2A-QF2; Ir76b-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
DP1m,Ir64a,Ir64a,Ir64a,Ir64a,Ir64a,"Sacculus, Chamber III; sacIII",antenna,sacIII-d,antenna,"Sacculus, Chamber III",sacIII,sacIII,antenna,,Ir8a,Ir8a,negative,No,Yes,Yes,Yes,"varia (e.g. 2,3-butanedione, geranyl acetate, beta-citronellol, eugenol, isobutyric acid)",alcoholic_fermentation,acetic acid,alcoholic_fermentation,aversive,FBbt_00007097,antennal lobe glomerulus DP1m,"""antennal lobe glomerulus DP1 medial compartment"" EXACT [] | ""DP1m"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,1 (0),1 (0),positive,1,1 (0),,,Ir8a-T2A-QF2; Ir76b-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
V,"Gr21a, Gr63a; Gr21a/Gr63a; Gr21a+Gr63a",Gr21a/Gr63a,"Gr21a, Gr63a",Gr21a/Gr63a,Gr21a+Gr63a,Ab1C; ab1,antenna,ab1,antenna,Ab1C,ab1,ab1,antenna,ab1C,-,,positive,Yes,No,No,Yes,carbon dioxide,alcoholic_fermentation / avoidance,carbon dioxide,alcoholic_fermentation,aversive,FBbt_00003951,antennal lobe glomerulus V,"""antennal glomerulus V"" EXACT [] | ""V glomerulus"" EXACT [FlyBase:FBrf0219809]",GH146-GAL4,Grabe 2015 Table S1,positive,5.5 (0.57)^b,,,,,,,Orco-GAL4; Orco-T2A-QF2; Ir25a-T2A-QF2; Gr21a/Gr63a,direct,direct,direct,direct,direct,direct,direct,direct
VA1d,Or88a,Or88a,Or88a,Or88a,Or88a,At4C; at4,antenna,at4,antenna,At4C,at4C,at4,antenna,at4C,Orco,Orco,positive,Yes,No,No,Yes,"methyl laurate, methyl myristate, methyl palmitate",pheromonal,methyl palmitate,pheromones,unclear,FBbt_00007101,antennal lobe glomerulus VA1d,"""antennal lobe glomerulus VA1 dorsal compartment"" EXACT [] | ""VA1d"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,3 (1),3 (0),positive,3,3 (0.8),,,Orco-GAL4; Orco-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
VA1v,Or47b,Or47b,Or47b,Or47b,Or47b,At4A; at4,antenna,at4,antenna,At4A,at4A,at4,antenna,at4A,Orco,Orco,positive,Yes,No,No,Yes,"palmitoleic acid, methyl laurate",courtship_pheromone,methyl laurate,pheromones,appetitive,FBbt_00007363,antennal lobe glomerulus VA1v,"""antennal lobe glomerulus VA1 ventral compartment"" EXACT [] | ""VA1l"" NARROW [FlyBase:FBrf0205720] | ""VA1lm"" EXACT [FlyBase:FBrf0205720] | ""VA1m"" NARROW [FlyBase:FBrf0205720] | ""VA1v"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,6 (0.9),5 (1),positive,5,4 (0.8),,1 (0.5),Orco-GAL4; Orco-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
VA2,Or92a,Or92a,Or92a,Or92a,Or92a,Ab1B; ab1,antenna,ab1,antenna,Ab1B,ab1,ab1,antenna,ab1B,Orco,Orco,positive,Yes,No,No,Yes,"2,3-butanedione",alcoholic_fermentation,"2,3-butanedione; acetoin",alcoholic_fermentation,appetitive,FBbt_00003942,antennal lobe glomerulus VA2,"""antennal glomerulus VA2"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,1 (0.4),1 (0.5),positive,1,1 (0.4),,,Orco-GAL4; Orco-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
VA3,Or67b,Or67b,Or67b,Or67b,Or67b,Ab9B; ab9,antenna,ab9,antenna,Ab9B,ab9B,ab9,antenna,ab9B,Orco,Orco,positive,Yes,Yes,Yes,Yes,"alcohols (e.g. trans-3-hexen-1-ol, 1-hexanol), acetophenone",yeasty/fruity,amyl acetate; 2-phenylethanol; acetophenone,yeasty; fruity,appetitive,FBbt_00003943,antennal lobe glomerulus VA3,"""antennal glomerulus VA3"" EXACT []",GH146-GAL4,Grabe 2015 Table S1,positive,2 (0.5),2 (0.5),,,,,,Orco-GAL4; Orco-T2A-QF2; Ir8a-T2A-QF2; Ir76b-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
VA4,Or85d,Or85d,Or85d,Or85d,Or85d,Pb3B; pb3,maxillary palp,pb3,maxillary palp,Pb3B,pb3,pb3,maxillary palp,pb3B,Orco,Orco,positive,Yes,No,No,Yes,"2-phenethyl acetate, phenethyl propionate",yeasty,2-phenylethyl acetate,yeasty,unclear,FBbt_00003944,antennal lobe glomerulus VA4,"""antennal glomerulus VA4"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,2 (0),1 (0),positive,1,,1 (0.5),,Orco-GAL4; Orco-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
VA5,Or49b,Or49b,Or49b,Or49b,Or49b,Ai1B (Ab6B); ab6B; ab6,antenna,ab11,antenna,Ai1B (Ab6B),ab6B,ab6,antenna,ab11A,Orco,Orco,positive,Yes,Yes,Yes,Yes,"indoles, methylphenols",animal_matter,2-methyl phenol,animal_matter,aversive,FBbt_00003937,antennal lobe glomerulus VA5,"""antennal glomerulus VA5"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,2 (0.5),3 (0.75),positive,3,,3 (0.7),,Orco-GAL4; Orco-T2A-QF2; Ir8a-T2A-QF2; Ir76b-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
VA6,Or82a,Or82a,Or82a,Or82a,Or82a,Ab5A; ab5,antenna,ab5,antenna,Ab5A,ab5A,ab5,antenna,ab5A,Orco,Orco,positive,Yes,Yes,Yes,Yes,geranyl acetate,yeasty/plant_matter,geranyl acetate; geranylacetone,yeasty; plant_matter,aversive,FBbt_00003938,antennal lobe glomerulus VA6,"""antennal glomerulus VA6"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,1 (0.4),2.5 (1.3),positive,1,1 (1),,,Orco-GAL4; Orco-T2A-QF2; Ir8a-T2A-QF2; Ir76b-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
VA7l,Or46a; Or46aA,Or46aA,Or46a,Or46aA,Or46a,Pb2B; pb2,maxillary palp,pb2,maxillary palp,Pb2B,pb2,pb2,maxillary palp,pb2B,Orco,Orco,positive,Yes,No,No,Yes,phenol and methylphenols,animal_matter,phenols,animal_matter,aversive,FBbt_00007103,antennal lobe glomerulus VA7l,"""antennal lobe glomerulus VA7 lateral compartment"" EXACT [] | ""VA7l"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,1 (0.5),1 (0),positive,2,2 (1.2),,,Orco-GAL4; Orco-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
VA7m,UNK,Or46aB,UNK,,,UNK,antenna,ab6,antenna,UNK,,,,ab6B,Orco,,positive,Yes,No,Variable,Yes,methylphenols,unknown/dangerous,unknown; benzaldehyde,unknown; dangerous,aversive,FBbt_00007102,antennal lobe glomerulus VA7m,"""antennal lobe glomerulus VA7 medial compartment"" EXACT [] | ""VA7m"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,3 (0),3 (0.6),positive,2.5,,2.5 (1),,Orco-GAL4; Orco-T2A-QF2; Ir76b-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,,direct,direct,direct,direct
VC1,"Or33c, Or85e; Or33c/Or85e; Or33c+85e",Or85e/Or33c,"Or33c, Or85e",Or33c/Or85e,Or33c+85e,Pb2A; pb2,maxillary palp,pb2,maxillary palp,Pb2A,pb2,pb2,maxillary palp,pb2A,Orco,Orco,positive,Yes,No,No,Yes,"furaneol methylether, fenchone, (-)-camphor, alpha- and beta-ionone",plant_matter,fenchone; cyclohexanone,plant_matter,unclear,FBbt_00003952,antennal lobe glomerulus VC1,"""antennal glomerulus VC1"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,1 (0.5),2 (0.5),positive,2,,2 (0.5),,Orco-GAL4; Orco-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
VC2,Or71a,Or71a,Or71a,Or71a,Or71a,Pb1B; pb1,maxillary palp,pb1,maxillary palp,Pb1B,pb1,pb1,maxillary palp,pb1B,Orco,Orco,positive,Yes,No,No,Yes,"ethylphenols (e.g. 4-ethylguaiacol), methyleugenol",yeasty,4-ethygluaiacol,yeasty,appetitive,FBbt_00003946,antennal lobe glomerulus VC2,"""antennal glomerulus VC2"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,1 (0.5),3 (1.5),positive,3,,3 (1.4),,Orco-GAL4; Orco-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
